canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_value,type,value
CCc1c(N2CCN(C(=O)c3ncc(Br)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6166712,=,=,IC50,3940.0,IC50,3940.0
CCc1c(N2CCN(C(=O)c3ncc(C)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6120418,=,=,IC50,550.0,IC50,550.0
CCc1c(N2CCN(C(=O)c3cnc(Cl)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6144804,=,=,IC50,1240.0,IC50,1240.0
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6152781,=,=,IC50,32.3,IC50,32.3
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6068555,=,=,IC50,29.8,IC50,29.8
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CC(OC)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6164786,=,=,IC50,414.0,IC50,414.0
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CC(COC)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6163175,=,=,IC50,456.0,IC50,456.0
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CC4(COC4)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6114918,=,=,IC50,781.0,IC50,781.0
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6145103,=,=,IC50,77.7,IC50,77.7
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6142101,=,=,IC50,21.8,IC50,21.8
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCCOC4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6168099,=,=,IC50,28.3,IC50,28.3
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCOCC4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6152543,=,=,IC50,42.2,IC50,42.2
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCCCC4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6133237,=,=,IC50,19.4,IC50,19.4
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CC3)CC4(F)F)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6165689,=,=,IC50,46.7,IC50,46.7
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(C3=CCC4(CCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6147675,=,=,IC50,34.3,IC50,34.3
CCc1c(N2CCN(C(=O)c3nc(C)ccc3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6167273,=,=,IC50,139.0,IC50,139.0
CCc1c(N2CCN(C(=O)c3nc(C4CC4)ccc3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6142046,=,=,IC50,133.0,IC50,133.0
CCc1c(N2CCN(C(=O)c3ncnc(OC)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6102278,=,=,IC50,31.7,IC50,31.7
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,CHEMBL6148625,=,=,IC50,120.0,IC50,120.0
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1F,CHEMBL6149499,=,=,IC50,23.5,IC50,23.5
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6145192,=,=,IC50,11.7,IC50,11.7
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1,CHEMBL6167823,=,=,IC50,17.8,IC50,17.8
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(C2CC2)cc1,CHEMBL6143893,=,=,IC50,16.2,IC50,16.2
CCc1c(N2CCN(C(=O)c3ncnc(C)c3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)CC3)nc2n1CC(=O)Nc1ccc(OC)cc1,CHEMBL6142983,=,=,IC50,84.5,IC50,84.5
CCC(=O)OCN1C(=O)C=CC1=O,CHEMBL1374426,=,=,IC50,20000.0,IC50,20.0
CC(C)(CN1C(=O)C(Cl)=C(Cl)C1=O)CN1C(=O)C(Cl)=C(Cl)C1=O,CHEMBL1968672,=,=,IC50,230.0,IC50,0.23
