canonical_smiles,pIC50
CS(=O)(=O)CC[C@@H](NC(=O)c1cnc(C(F)(F)F)nc1Oc1ccccc1)C1CC1,6.853871964321762
CCc1c(N2CCN(C(=O)c3cc4ncncc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.779891911959945
CCc1c(N2CCN(C(=O)c3ccc4cccc(O)c4n3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.730487055782083
CCc1c(N2CCN(C(=O)C3=CC4C=CC=NC4N3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.7121982700697735
O=C1/C(=C2\Nc3ccc(S(=O)(=O)O)cc3C2=O)Nc2ccc(S(=O)(=O)O)cc21,6.698970004336019
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCOC4)CC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.6968039425795105
CCc1c(N2CCN(C(=O)c3cc4nc(Br)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.688246138944246
CCc1c(N2CCN(C(=O)c3c(F)ccc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.673664139071249
CCc1c(N2CCN(C(=O)c3cccc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.651695136951839
CC(C)(CN1C(=O)C(Cl)=C(Cl)C1=O)CN1C(=O)C(Cl)=C(Cl)C1=O,6.638272163982407
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CCC4(CCCCO4)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.568636235841012
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CC(OC)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.474955192963154
CCc1c(N2CCN(C(=O)c3cc4ncccc4n3C)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.441291429466834
CCc1c(N2CCN(C(=O)c3nc4ccccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.421360790031928
CCc1c(N2CCN(C(=O)c3nccc4c(CN5CCOCC5)c[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.364516253185088
CCc1c(N2CCN(C(=O)c3ncc(C)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.355561410532161
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CC(COC)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.343901797987169
CCc1c(N2CCN(C(=O)c3cccc4c(CN5CCOCC5)c[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.30189945437661
CCc1c(N2CCN(C(=O)c3nccc4c(Br)c[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.245651664288982
CCc1c(N2CCN(C(=O)c3cc4nc(C(F)(F)F)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.224025668870631
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CC4(CCCO4)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.20690839982342
CCc1c(N2CCN(C(=O)c3ccc(F)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.189095719331299
CCc1c(N2CCN(C(=O)c3cc(Cl)cc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,6.186419011431807
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CC4(COC4)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.119186407719209
CNC(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CN(C(=O)Cc2ccc(OC)cc2F)CC[C@@H]1NC(=O)CCn1c(=O)[nH]c2ccccc21,6.060480747381382
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CC(C#N)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,6.017728766960431
N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1Br,5.958607314841775
CCc1c(N2CCN(C(=O)c3cnc(Cl)c4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,5.954677021213342
CCc1c(N2CCN(C(=O)c3cc4ccc(Cl)nc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,5.903785414653594
CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(N3CC(S(C)(=O)=O)C3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,5.886056647693163
N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1Cl,5.795880017344075
